range_hint,match_id,league,kickoff,home_team,away_team,team,line,selection,model_prob,fair_odds,min_odds_for_edge,odds
D,football_data_538139,EPL,2026-05-09 22:00,Fulham,Bournemouth,Fulham,+0.5,Fulham AH +0.5,0.6176,1.619,1.7,
D,football_data_538141,EPL,2026-05-10 00:30,Man City,Brentford,Man City,-0.5,Man City AH -0.5,0.6172,1.62,1.701,
D,football_data_544556,LaLiga,2026-05-09 20:00,Elche,Alaves,Elche,0,Elche AH 0,0.6167,1.622,1.703,
D,football_data_540697,Bundesliga,2026-05-10 21:30,Hamburg,Freiburg,Hamburg,+0.5,Hamburg AH +0.5,0.6161,1.623,1.704,
D,football_data_544550,LaLiga,2026-05-05 03:00,Sevilla,Sociedad,Sociedad,0,Sociedad AH 0,0.6106,1.638,1.72,
D,football_data_544558,LaLiga,2026-05-09 22:15,Sevilla,Espanol,Sevilla,0,Sevilla AH 0,0.6106,1.638,1.72,
D,football_data_537171,SerieA,2026-05-11 00:00,Parma,Roma,Parma,+1.5,Parma AH +1.5,0.6104,1.638,1.72,
D,football_data_540702,Bundesliga,2026-05-10 23:30,FC Koln,Heidenheim,FC Koln,-0.5,FC Koln AH -0.5,0.6102,1.639,1.721,
D,football_data_542702,L1,2026-05-11 03:00,Rennes,Paris FC,Rennes,-0.5,Rennes AH -0.5,0.61,1.639,1.721,
D,football_data_540702,Bundesliga,2026-05-10 23:30,FC Koln,Heidenheim,Heidenheim,+1.5,Heidenheim AH +1.5,0.6054,1.652,1.734,
D,football_data_542696,L1,2026-05-11 03:00,Monaco,Lille,Lille,0,Lille AH 0,0.6054,1.652,1.734,
D,football_data_538143,EPL,2026-05-12 03:00,Tottenham,Leeds,Leeds,-0.5,Leeds AH -0.5,0.6041,1.655,1.738,
D,football_data_538129,EPL,2026-05-04 22:00,Chelsea,Nott'm Forest,Nott'm Forest,+0.5,Nott'm Forest AH +0.5,0.6027,1.659,1.742,
D,football_data_538144,EPL,2026-05-10 23:30,West Ham,Arsenal,West Ham,+1.5,West Ham AH +1.5,0.6004,1.666,1.749,
D,football_data_540699,Bundesliga,2026-05-09 21:30,Augsburg,M'gladbach,M'gladbach,+0.5,M'gladbach AH +0.5,0.5999,1.667,1.75,
D,football_data_537155,SerieA,2026-05-05 02:45,Roma,Fiorentina,Fiorentina,+1.5,Fiorentina AH +1.5,0.5969,1.675,1.759,
D,football_data_542695,L1,2026-05-11 03:00,Auxerre,Nice,Auxerre,0,Auxerre AH 0,0.5966,1.676,1.76,
D,football_data_544552,LaLiga,2026-05-10 00:30,Atletico Madrid,Celta,Atletico Madrid,0,Atletico Madrid AH 0,0.594,1.683,1.768,
D,football_data_538140,EPL,2026-05-09 19:30,Liverpool,Chelsea,Liverpool,-0.5,Liverpool AH -0.5,0.5933,1.685,1.77,
D,football_data_544551,LaLiga,2026-05-10 22:15,Ath Bilbao,Valencia,Valencia,+0.5,Valencia AH +0.5,0.5892,1.697,1.782,
D,football_data_537165,SerieA,2026-05-10 21:00,Fiorentina,Genoa,Fiorentina,+0.5,Fiorentina AH +0.5,0.5811,1.721,1.807,
D,football_data_542697,L1,2026-05-11 03:00,Metz,Lorient,Lorient,-0.5,Lorient AH -0.5,0.5748,1.74,1.827,
D,football_data_538138,EPL,2026-05-10 21:00,Burnley,Aston Villa,Burnley,+1.5,Burnley AH +1.5,0.5712,1.751,1.838,
D,football_data_544553,LaLiga,2026-05-11 03:00,Barcelona,Real Madrid,Real Madrid,+0.5,Real Madrid AH +0.5,0.5684,1.759,1.847,
D,football_data_544551,LaLiga,2026-05-10 22:15,Ath Bilbao,Valencia,Ath Bilbao,0,Ath Bilbao AH 0,0.5675,1.762,1.85,
D,football_data_544553,LaLiga,2026-05-11 03:00,Barcelona,Real Madrid,Barcelona,0,Barcelona AH 0,0.5674,1.762,1.851,
D,football_data_542695,L1,2026-05-11 03:00,Auxerre,Nice,Nice,+0.5,Nice AH +0.5,0.5645,1.771,1.86,
D,football_data_542697,L1,2026-05-11 03:00,Metz,Lorient,Metz,+1,Metz AH +1,0.5646,1.771,1.86,
D,football_data_544555,LaLiga,2026-05-10 20:00,Mallorca,Villarreal,Mallorca,+0.5,Mallorca AH +0.5,0.5637,1.774,1.863,
D,football_data_544555,LaLiga,2026-05-10 20:00,Mallorca,Villarreal,Villarreal,0,Villarreal AH 0,0.5634,1.775,1.864,
D,football_data_540699,Bundesliga,2026-05-09 21:30,Augsburg,M'gladbach,Augsburg,0,Augsburg AH 0,0.5564,1.797,1.887,
D,football_data_538138,EPL,2026-05-10 21:00,Burnley,Aston Villa,Aston Villa,-1,Aston Villa AH -1,0.5505,1.816,1.907,
D,football_data_544558,LaLiga,2026-05-09 22:15,Sevilla,Espanol,Espanol,+0.5,Espanol AH +0.5,0.5499,1.818,1.909,
D,football_data_542696,L1,2026-05-11 03:00,Monaco,Lille,Monaco,+0.5,Monaco AH +0.5,0.547,1.828,1.919,
D,football_data_537165,SerieA,2026-05-10 21:00,Fiorentina,Genoa,Genoa,0,Genoa AH 0,0.5453,1.834,1.926,
D,football_data_538129,EPL,2026-05-04 22:00,Chelsea,Nott'm Forest,Chelsea,0,Chelsea AH 0,0.5445,1.837,1.928,
D,football_data_537174,SerieA,2026-05-10 02:45,Lecce,Juventus,Lecce,+1.5,Lecce AH +1.5,0.5409,1.849,1.941,
D,football_data_544552,LaLiga,2026-05-10 00:30,Atletico Madrid,Celta,Celta,+0.5,Celta AH +0.5,0.5405,1.85,1.942,
D,football_data_544560,LaLiga,2026-05-12 03:00,Vallecano,Girona,Vallecano,+0.5,Vallecano AH +0.5,0.5391,1.855,1.948,
D,football_data_544554,LaLiga,2026-05-09 03:00,Levante,Osasuna,Levante,+0.5,Levante AH +0.5,0.5384,1.857,1.95,
D,football_data_537171,SerieA,2026-05-11 00:00,Parma,Roma,Roma,-1,Roma AH -1,0.5381,1.859,1.951,
D,football_data_537155,SerieA,2026-05-05 02:45,Roma,Fiorentina,Roma,-1,Roma AH -1,0.5365,1.864,1.957,
D,football_data_538142,EPL,2026-05-10 21:00,Nott'm Forest,Newcastle,Newcastle,+0.5,Newcastle AH +0.5,0.5354,1.868,1.961,
D,football_data_544559,LaLiga,2026-05-11 00:30,Real Oviedo,Getafe,Getafe,+0.5,Getafe AH +0.5,0.5345,1.871,1.964,
D,football_data_538135,EPL,2026-05-09 22:00,Sunderland,Man United,Man United,-0.5,Man United AH -0.5,0.5338,1.873,1.967,
D,football_data_544550,LaLiga,2026-05-05 03:00,Sevilla,Sociedad,Sevilla,+0.5,Sevilla AH +0.5,0.5336,1.874,1.968,
D,football_data_538137,EPL,2026-05-10 21:00,Crystal Palace,Everton,Crystal Palace,+0.5,Crystal Palace AH +0.5,0.5307,1.884,1.978,
D,football_data_537173,SerieA,2026-05-10 21:00,Cremonese,Pisa,Cremonese,0,Cremonese AH 0,0.5286,1.892,1.986,
D,football_data_544556,LaLiga,2026-05-09 20:00,Elche,Alaves,Alaves,+0.5,Alaves AH +0.5,0.5273,1.896,1.991,
D,football_data_538140,EPL,2026-05-09 19:30,Liverpool,Chelsea,Chelsea,+1,Chelsea AH +1,0.5265,1.899,1.994,
D,football_data_540696,Bundesliga,2026-05-09 02:30,Dortmund,Ein Frankfurt,Dortmund,-1.5,Dortmund AH -1.5,0.5259,1.902,1.997,
