risk_band,match_id,league,kickoff,home_team,away_team,market,selection,model_prob,fair_odds,min_odds_for_edge,lambda_h,lambda_a,bookmaker,odds
Low Risk,manual_l1_lens_psg_2026_05_14_03_00,L1,2026-05-14 03:00,Lens,PSG,TT,Lens U2.5,0.9752,1.025,1.077,0.617,2.219,polymarket,
Low Risk,football_data_538146,EPL,2026-05-16 03:00,Aston Villa,Liverpool,OU,Over 0.5,0.9425,1.061,1.114,1.118,1.738,polymarket,
Low Risk,manual_l1_lens_psg_2026_05_14_03_00,L1,2026-05-14 03:00,Lens,PSG,OU,Over 0.5,0.9413,1.062,1.115,0.617,2.219,polymarket,
Low Risk,football_data_538146,EPL,2026-05-16 03:00,Aston Villa,Liverpool,TT,Aston Villa U2.5,0.8968,1.115,1.171,1.118,1.738,polymarket,
Low Risk,manual_l1_lens_psg_2026_05_14_03_00,L1,2026-05-14 03:00,Lens,PSG,TT,PSG O0.5,0.8913,1.122,1.178,0.617,2.219,polymarket,
Low Risk,manual_l1_lens_psg_2026_05_14_03_00,L1,2026-05-14 03:00,Lens,PSG,TT,Lens U1.5,0.8725,1.146,1.203,0.617,2.219,polymarket,
Low Risk,football_data_538146,EPL,2026-05-16 03:00,Aston Villa,Liverpool,TT,Liverpool O0.5,0.8241,1.213,1.274,1.118,1.738,polymarket,
Low Risk,football_data_538146,EPL,2026-05-16 03:00,Aston Villa,Liverpool,OU,Over 1.5,0.7783,1.285,1.349,1.118,1.738,polymarket,
Low Risk,manual_l1_lens_psg_2026_05_14_03_00,L1,2026-05-14 03:00,Lens,PSG,OU,Over 1.5,0.775,1.29,1.355,0.617,2.219,polymarket,
Low Risk,football_data_538146,EPL,2026-05-16 03:00,Aston Villa,Liverpool,TT,Liverpool U2.5,0.7472,1.338,1.405,1.118,1.738,polymarket,
Low Risk,manual_l1_lens_psg_2026_05_14_03_00,L1,2026-05-14 03:00,Lens,PSG,1X2,PSG Win,0.731,1.368,1.436,0.617,2.219,polymarket,2.0000
Low Risk,football_data_538146,EPL,2026-05-16 03:00,Aston Villa,Liverpool,TT,Aston Villa U1.5,0.6924,1.444,1.516,1.118,1.738,polymarket,
Low Risk,manual_l1_lens_psg_2026_05_14_03_00,L1,2026-05-14 03:00,Lens,PSG,OU,Under 3.5,0.6839,1.462,1.535,0.617,2.219,polymarket,
Low Risk,football_data_538146,EPL,2026-05-16 03:00,Aston Villa,Liverpool,OU,Under 3.5,0.6795,1.472,1.545,1.118,1.738,polymarket,
Low Risk,football_data_538146,EPL,2026-05-16 03:00,Aston Villa,Liverpool,TT,Aston Villa O0.5,0.6731,1.486,1.56,1.118,1.738,polymarket,
Low Risk,manual_l1_lens_psg_2026_05_14_03_00,L1,2026-05-14 03:00,Lens,PSG,TT,PSG O1.5,0.65,1.538,1.615,0.617,2.219,polymarket,
Low Risk,football_data_538146,EPL,2026-05-16 03:00,Aston Villa,Liverpool,BTTS,BTTS Yes,0.631,1.585,1.664,1.118,1.738,polymarket,
Low Risk,manual_l1_lens_psg_2026_05_14_03_00,L1,2026-05-14 03:00,Lens,PSG,TT,PSG U2.5,0.6176,1.619,1.7,0.617,2.219,polymarket,
Low Risk,manual_l1_lens_psg_2026_05_14_03_00,L1,2026-05-14 03:00,Lens,PSG,OU,Under 3,0.5932,1.686,1.77,0.617,2.219,polymarket,
Low Risk,football_data_538146,EPL,2026-05-16 03:00,Aston Villa,Liverpool,OU,Under 3,0.5873,1.703,1.788,1.118,1.738,polymarket,
Low Risk,manual_l1_lens_psg_2026_05_14_03_00,L1,2026-05-14 03:00,Lens,PSG,BTTS,BTTS No,0.55,1.818,1.909,0.617,2.219,polymarket,
Low Risk,football_data_538146,EPL,2026-05-16 03:00,Aston Villa,Liverpool,OU,Over 2.5,0.5438,1.839,1.931,1.118,1.738,polymarket,
Low Risk,manual_l1_lens_psg_2026_05_14_03_00,L1,2026-05-14 03:00,Lens,PSG,TT,Lens U0.5,0.5396,1.853,1.946,0.617,2.219,polymarket,
Low Risk,manual_l1_lens_psg_2026_05_14_03_00,L1,2026-05-14 03:00,Lens,PSG,OU,Over 2.5,0.5391,1.855,1.948,0.617,2.219,polymarket,
Low Risk,football_data_538146,EPL,2026-05-16 03:00,Aston Villa,Liverpool,TT,Liverpool O1.5,0.5185,1.929,2.025,1.118,1.738,polymarket,
Low Risk,football_data_538146,EPL,2026-05-16 03:00,Aston Villa,Liverpool,1X2,Liverpool Win,0.494,2.024,2.126,1.118,1.738,polymarket,2.3256
Low Risk,football_data_538146,EPL,2026-05-16 03:00,Aston Villa,Liverpool,TT,Liverpool U1.5,0.4815,2.077,2.181,1.118,1.738,polymarket,
Low Risk,manual_l1_lens_psg_2026_05_14_03_00,L1,2026-05-14 03:00,Lens,PSG,OU,Under 2.5,0.4609,2.17,2.278,0.617,2.219,polymarket,
Low Risk,manual_l1_lens_psg_2026_05_14_03_00,L1,2026-05-14 03:00,Lens,PSG,TT,Lens O0.5,0.4604,2.172,2.28,0.617,2.219,polymarket,
Low Risk,football_data_538146,EPL,2026-05-16 03:00,Aston Villa,Liverpool,OU,Under 2.5,0.4562,2.192,2.302,1.118,1.738,polymarket,
Low Risk,manual_l1_lens_psg_2026_05_14_03_00,L1,2026-05-14 03:00,Lens,PSG,BTTS,BTTS Yes,0.45,2.222,2.333,0.617,2.219,polymarket,
Low Risk,football_data_538146,EPL,2026-05-16 03:00,Aston Villa,Liverpool,OU,Over 3,0.4127,2.423,2.544,1.118,1.738,polymarket,
Low Risk,manual_l1_lens_psg_2026_05_14_03_00,L1,2026-05-14 03:00,Lens,PSG,OU,Over 3,0.4068,2.458,2.581,0.617,2.219,polymarket,
High Risk,manual_l1_lens_psg_2026_05_14_03_00,L1,2026-05-14 03:00,Lens,PSG,TT,PSG O2.5,0.3824,2.615,2.746,0.617,2.219,polymarket,
High Risk,football_data_538146,EPL,2026-05-16 03:00,Aston Villa,Liverpool,BTTS,BTTS No,0.369,2.71,2.846,1.118,1.738,polymarket,
High Risk,manual_l1_lens_psg_2026_05_14_03_00,L1,2026-05-14 03:00,Lens,PSG,TT,PSG U1.5,0.35,2.857,3.0,0.617,2.219,polymarket,
High Risk,football_data_538146,EPL,2026-05-16 03:00,Aston Villa,Liverpool,TT,Aston Villa U0.5,0.3269,3.059,3.212,1.118,1.738,polymarket,
High Risk,football_data_538146,EPL,2026-05-16 03:00,Aston Villa,Liverpool,OU,Over 3.5,0.3205,3.12,3.276,1.118,1.738,polymarket,
High Risk,manual_l1_lens_psg_2026_05_14_03_00,L1,2026-05-14 03:00,Lens,PSG,OU,Over 3.5,0.3161,3.164,3.322,0.617,2.219,polymarket,
High Risk,football_data_538146,EPL,2026-05-16 03:00,Aston Villa,Liverpool,TT,Aston Villa O1.5,0.3076,3.251,3.414,1.118,1.738,polymarket,
High Risk,football_data_538146,EPL,2026-05-16 03:00,Aston Villa,Liverpool,1X2,Draw,0.286,3.497,3.671,1.118,1.738,polymarket,
High Risk,football_data_538146,EPL,2026-05-16 03:00,Aston Villa,Liverpool,TT,Liverpool O2.5,0.2528,3.955,4.153,1.118,1.738,polymarket,
High Risk,manual_l1_lens_psg_2026_05_14_03_00,L1,2026-05-14 03:00,Lens,PSG,OU,Under 1.5,0.225,4.444,4.666,0.617,2.219,polymarket,
High Risk,football_data_538146,EPL,2026-05-16 03:00,Aston Villa,Liverpool,OU,Under 1.5,0.2217,4.51,4.736,1.118,1.738,polymarket,
High Risk,football_data_538146,EPL,2026-05-16 03:00,Aston Villa,Liverpool,1X2,Aston Villa Win,0.22,4.545,4.773,1.118,1.738,polymarket,
