range_hint,match_id,league,kickoff,home_team,away_team,team,direction,line,selection,model_prob,fair_odds,min_odds_for_edge,odds
D,football_data_537173,SerieA,2026-05-10 21:00,Cremonese,Pisa,Cremonese,Over,0.5,Cremonese O0.5,0.616,1.623,1.705,
D,football_data_540697,Bundesliga,2026-05-10 21:30,Hamburg,Freiburg,Hamburg,Under,1.5,Hamburg U1.5,0.6155,1.625,1.706,
D,football_data_538136,EPL,2026-05-09 22:00,Brighton,Wolves,Brighton,Under,1.5,Brighton U1.5,0.6152,1.626,1.707,
D,football_data_538139,EPL,2026-05-09 22:00,Fulham,Bournemouth,Fulham,Under,1.5,Fulham U1.5,0.6141,1.628,1.71,1.79
D,football_data_544554,LaLiga,2026-05-09 03:00,Levante,Osasuna,Osasuna,Under,1.5,Osasuna U1.5,0.6131,1.631,1.713,
D,football_data_538144,EPL,2026-05-10 23:30,West Ham,Arsenal,Arsenal,Over,1.5,Arsenal O1.5,0.6108,1.637,1.719,1.65
D,football_data_540700,Bundesliga,2026-05-11 01:30,Mainz,Union Berlin,Mainz,Under,1.5,Mainz U1.5,0.6089,1.642,1.725,
D,football_data_542702,L1,2026-05-11 03:00,Rennes,Paris FC,Rennes,Over,1.5,Rennes O1.5,0.6079,1.645,1.727,
D,football_data_542697,L1,2026-05-11 03:00,Metz,Lorient,Metz,Over,0.5,Metz O0.5,0.6078,1.645,1.728,
D,football_data_544557,LaLiga,2026-05-10 03:00,Sociedad,Betis,Betis,Under,1.5,Betis U1.5,0.6061,1.65,1.732,
D,football_data_540695,Bundesliga,2026-05-09 21:30,Stuttgart,Leverkusen,Stuttgart,Over,1.5,Stuttgart O1.5,0.6055,1.652,1.734,
D,football_data_542694,L1,2026-05-11 03:00,Le Havre,Marseille,Le Havre,Over,0.5,Le Havre O0.5,0.6043,1.655,1.738,
D,football_data_538144,EPL,2026-05-10 23:30,West Ham,Arsenal,West Ham,Over,0.5,West Ham O0.5,0.6035,1.657,1.74,1.55
D,football_data_544554,LaLiga,2026-05-09 03:00,Levante,Osasuna,Levante,Over,0.5,Levante O0.5,0.6031,1.658,1.741,
D,football_data_542695,L1,2026-05-11 03:00,Auxerre,Nice,Auxerre,Under,1.5,Auxerre U1.5,0.6026,1.66,1.743,
D,football_data_544556,LaLiga,2026-05-09 20:00,Elche,Alaves,Alaves,Under,1.5,Alaves U1.5,0.6019,1.661,1.745,
D,football_data_540697,Bundesliga,2026-05-10 21:30,Hamburg,Freiburg,Freiburg,Under,1.5,Freiburg U1.5,0.5967,1.676,1.76,
D,football_data_542701,L1,2026-05-11 03:00,Angers,Strasbourg,Angers,Over,0.5,Angers O0.5,0.5963,1.677,1.761,
D,football_data_538139,EPL,2026-05-09 22:00,Fulham,Bournemouth,Bournemouth,Under,1.5,Bournemouth U1.5,0.5949,1.681,1.765,1.88
D,football_data_537171,SerieA,2026-05-11 00:00,Parma,Roma,Parma,Under,0.5,Parma U0.5,0.5945,1.682,1.766,
D,football_data_544553,LaLiga,2026-05-11 03:00,Barcelona,Real Madrid,Real Madrid,Under,1.5,Real Madrid U1.5,0.5887,1.699,1.784,
D,football_data_537173,SerieA,2026-05-10 21:00,Cremonese,Pisa,Pisa,Over,0.5,Pisa O0.5,0.5852,1.709,1.794,1.65
D,football_data_544558,LaLiga,2026-05-09 22:15,Sevilla,Espanol,Sevilla,Under,1.5,Sevilla U1.5,0.5839,1.713,1.798,
